No.,protein type,heat,protein conc. (%),oil vol. (%),pH,NaCl (mM),CaCl2 (mM)
1,FPI,N,1,50,7,0,0
2,FPI,N,3,50,3,0,0
3,FPI,N,3,50,5,0,0
4,FPI,N,3,50,7,0,0
5,FPI,N,3,50,7,0,40
6,FPI,N,5,50,7,0,0
7,FPI,Y,1,50,7,0,0
8,FPI,Y,3,50,3,0,0
9,FPI,Y,3,50,5,0,0
10,FPI,Y,3,50,7,0,0
11,FPI,Y,3,50,7,0,40
12,FPI,Y,3,50,7,200,0
13,FPI,Y,5,50,7,0,0
14,QPI,N,3,20,3,0,0
15,QPI,N,3,20,5,0,0
16,QPI,N,3,20,7,0,0
17,QPI,N,3,20,9,0,0
18,QPI,N,3,40,3,0,0
19,QPI,N,3,40,5,0,0
20,QPI,N,3,40,7,0,0
21,QPI,N,3,40,9,0,0
22,QPI,N,3,60,3,0,0
23,QPI,N,3,60,5,0,0
24,QPI,N,3,60,7,0,0
25,QPI,N,3,60,9,0,0
